index escape_code
8148, '\u1fd4' START
8149, '\u1fd5'length=1 END
8156, '\u1fdc' START
8156, '\u1fdc'length=0 END
8176, '\u1ff0' START
8177, '\u1ff1'length=1 END
8181, '\u1ff5' START
8181, '\u1ff5'length=0 END
8191, '\u1fff' START
8207, '\u200f'length=16 END
8232, '\u2028' START
8239, '\u202f'length=7 END
8287, '\u205f' START
8303, '\u206f'length=16 END
8306, '\u2072' START
8307, '\u2073'length=1 END
8335, '\u208f' START
8335, '\u208f'length=0 END
8349, '\u209d' START
8351, '\u209f'length=2 END
8384, '\u20c0' START
8399, '\u20cf'length=15 END
8433, '\u20f1' START
8447, '\u20ff'length=14 END
8588, '\u218c' START
8591, '\u218f'length=3 END
9255, '\u2427' START
9279, '\u243f'length=24 END
9291, '\u244b' START
9311, '\u245f'length=20 END
11124, '\u2b74' START
11125, '\u2b75'length=1 END
11158, '\u2b96' START
11158, '\u2b96'length=0 END
11311, '\u2c2f' START
11311, '\u2c2f'length=0 END
11359, '\u2c5f' START
11359, '\u2c5f'length=0 END
11508, '\u2cf4' START
11512, '\u2cf8'length=4 END
11558, '\u2d26' START
11558, '\u2d26'length=0 END
11560, '\u2d28' START
11564, '\u2d2c'length=4 END
11566, '\u2d2e' START
11567, '\u2d2f'length=1 END
11624, '\u2d68' START
11630, '\u2d6e'length=6 END
11633, '\u2d71' START
11646, '\u2d7e'length=13 END
11671, '\u2d97' START
11679, '\u2d9f'length=8 END
11687, '\u2da7' START
11687, '\u2da7'length=0 END
11695, '\u2daf' START
11695, '\u2daf'length=0 END
11703, '\u2db7' START
11703, '\u2db7'length=0 END
11711, '\u2dbf' START
11711, '\u2dbf'length=0 END
11719, '\u2dc7' START
11719, '\u2dc7'length=0 END
11727, '\u2dcf' START
11727, '\u2dcf'length=0 END
11735, '\u2dd7' START
11735, '\u2dd7'length=0 END
11743, '\u2ddf' START
11743, '\u2ddf'length=0 END
11859, '\u2e53' START
11903, '\u2e7f'length=44 END
11930, '\u2e9a' START
11930, '\u2e9a'length=0 END
12020, '\u2ef4' START
12031, '\u2eff'length=11 END
12246, '\u2fd6' START
12271, '\u2fef'length=25 END
12284, '\u2ffc' START
12288, '\u3000'length=4 END
12352, '\u3040' START
12352, '\u3040'length=0 END
12439, '\u3097' START
12440, '\u3098'length=1 END
12544, '\u3100' START
12548, '\u3104'length=4 END
12592, '\u3130' START
12592, '\u3130'length=0 END
12687, '\u318f' START
12687, '\u318f'length=0 END
12772, '\u31e4' START
12783, '\u31ef'length=11 END
12831, '\u321f' START
12831, '\u321f'length=0 END
40957, '\u9ffd' START
40959, '\u9fff'length=2 END
42125, '\ua48d' START
42127, '\ua48f'length=2 END
42183, '\ua4c7' START
42191, '\ua4cf'length=8 END
42540, '\ua62c' START
42559, '\ua63f'length=19 END
42744, '\ua6f8' START
42751, '\ua6ff'length=7 END
42944, '\ua7c0' START
42945, '\ua7c1'length=1 END
42955, '\ua7cb' START
42996, '\ua7f4'length=41 END
43053, '\ua82d' START
43055, '\ua82f'length=2 END
43066, '\ua83a' START
43071, '\ua83f'length=5 END
43128, '\ua878' START
43135, '\ua87f'length=7 END
43206, '\ua8c6' START
43213, '\ua8cd'length=7 END
43226, '\ua8da' START
43231, '\ua8df'length=5 END
43348, '\ua954' START
43358, '\ua95e'length=10 END
43389, '\ua97d' START
43391, '\ua97f'length=2 END
43470, '\ua9ce' START
43470, '\ua9ce'length=0 END
43482, '\ua9da' START
43485, '\ua9dd'length=3 END
43519, '\ua9ff' START
43519, '\ua9ff'length=0 END
43575, '\uaa37' START
43583, '\uaa3f'length=8 END
43598, '\uaa4e' START
